key_mlbam,full_name,name_no_accent,birth_date,pro_played_first,fg_link,bbref_register_link
472551,Fernando Abad,Fernando Abad,1985-12-17,2006,http://www.fangraphs.com/statss.aspx?playerid=4994,https://www.baseball-reference.com/register/player.fcgi?id=abad--001fer
676265,Cory Abbott,Cory Abbott,1995-09-20,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abbott000cor
676619,Sam Abbott,Sam Abbott,1999-04-09,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abbott000sam
690953,Mick Abel,Mick Abel,2001-08-18,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abel--000mcl
686588,Blane Abeyta,Blane Abeyta,1998-09-04,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abeyta000bla
682928,CJ Abrams,CJ Abrams,2000-10-03,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abrams000pau
656061,Albert Abreu,Albert Abreu,1995-09-26,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abreu-000alb
650556,Bryan Abreu,Bryan Abreu,1997-04-22,2014,http://www.fangraphs.com/statss.aspx?playerid=16609,https://www.baseball-reference.com/register/player.fcgi?id=abreu-000bry
547989,José Abreu,Jose Abreu,1987-01-29,2003,http://www.fangraphs.com/statss.aspx?playerid=15676,https://www.baseball-reference.com/register/player.fcgi?id=abreu-009jos
677800,Wilyer Abreu,Wilyer Abreu,1999-06-24,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abreu-002wil
671358,Juan Manuel Abril,Juan Manuel Abril,1998-03-11,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=abril-000jua
642758,Domingo Acevedo,Domingo Acevedo,1994-03-06,2013,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aceved000dom
686769,Dane Acker,Dane Acker,1999-04-01,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acker-000dan
672755,Aldry Acosta,Aldry Acosta,1999-09-07,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acosta000ald
691081,Enmanuel Acosta,Enmanuel Acosta,1999-06-06,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acosta000enm
669101,Matthew Acosta,Matthew Acosta,1998-04-01,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acosta000mat
666673,Melvi Acosta,Melvi Acosta,1995-06-02,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acosta000mel
670183,Garrett Acton,Garrett Acton,1998-06-15,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acton-000gar
672696,Francisco Acuna,Francisco Acuna,2000-01-12,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acuna-000fra
670815,James Acuña,James Acuna,1997-09-18,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acuna-000jam
682668,Jose Acuna,Jose Acuna,2002-03-12,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=acuna-003jos
